Name,Have Item,Price,Website,Shipping,Notes,Total
Arduino Pro Micro,Nope,$2.95,https://www.aliexpress.us/item/3256806908043161.html?spm=a2g0o.cart.0.0.3e0d38damDJhqF&mp=1&pdp_npi=6%40dis%21USD%21USD%202.95%21USD%200.99%21%21USD%200.99%21%21%21%402101e2b417692344744398905eb9ca%2112000039383634417%21ct%21US%21-1%21%211%210%21&_gl=1*ggqf68*_gcl_aw*R0NMLjE3NjkyMzQzOTAuQ2owS0NRaUExY3pMQmhEaEFSSXNBSUVjN3VpQXdfM2dhZXNMdGd4d0l4SEYyMFRoVW5sc2RkZmN0V3ZLUHZlWTZEQjlUaVp3OUVSaEptc2FBclVrRUFMd193Y0I.*_gcl_dc*R0NMLjE3NjkyMzQzOTAuQ2owS0NRaUExY3pMQmhEaEFSSXNBSUVjN3VpQXdfM2dhZXNMdGd4d0l4SEYyMFRoVW5sc2RkZmN0V3ZLUHZlWTZEQjlUaVp3OUVSaEptc2FBclVrRUFMd193Y0I.*_gcl_au*OTkxNjIzMTU5LjE3Njc0OTQwMjE.*_ga*MzA4MzAxNDkxLjE3NjkyMzQwNjE.*_ga_VED1YSGNC7*czE3NjkyMzQwNjEkbzEkZzEkdDE3NjkyMzQ0NjQkajU4JGwwJGgw&gatewayAdapt=glo2usa,Type USB C,
Normal Buttons,Nope,2.64,https://www.aliexpress.us/item/3256808033501632.html?spm=a2g0o.productlist.main.14.3ef645181SlaMk&algo_pvid=acb628ec-308b-452d-9c0c-624917fb9b41&algo_exp_id=acb628ec-308b-452d-9c0c-624917fb9b41-13&pdp_ext_f=%7B%22order%22%3A%2248%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.64%210.99%21%21%212.64%210.99%21%402101e83017686995561408041e51da%2112000044303857870%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A167de92e%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836311&curPageLogUid=pIl5qWG0fQDt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008219816384%7C_p_origin_prod%3A,14.56,50 PC DIP cheaper in bulk,
Resistor,Yes,N/A,N/A,N/A,N/A,
LED,Yes,N/A,N/A,N/A,N/A,
Angle Button,Nope,1.95,https://www.aliexpress.us/item/3256805963063836.html?spm=a2g0o.productlist.main.4.54e634743iVHJg&aem_p4p_detail=2026011717345011162745754582300001370313&algo_pvid=34289ea9-349e-4ee9-b08a-762b28518aef&algo_exp_id=34289ea9-349e-4ee9-b08a-762b28518aef-3&pdp_ext_f=%7B%22order%22%3A%2213%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.93%211.66%21%21%2113.38%2111.51%21%402101d6ff17687000905191701e94ec%2112000035983546666%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A167de92e%3Bm03_new_user%3A-29895&curPageLogUid=PJdemHcWeveu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006149378588%7C_p_origin_prod%3A&search_p4p_id=2026011717345011162745754582300001370313_1,^,,
Joystick,Nope,8.77,https://www.aliexpress.us/item/3256809754320711.html?spm=a2g0o.productlist.main.5.6b7c50c7YjJHsd&algo_pvid=863c6726-4d3f-4ccf-88d0-3dbef9280752&algo_exp_id=863c6726-4d3f-4ccf-88d0-3dbef9280752-4&pdp_ext_f=%7B%22order%22%3A%22481%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.28%210.99%21%21%2150.43%216.90%21%402101e83017687002416786809e51d7%2112000050647803488%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A167de92e%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836311&curPageLogUid=dJRgDW5tREYr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009940635463%7C_p_origin_prod%3A,^,,
PCB,Nope,10.7,https://cart.jlcpcb.com/shopcart/cart/,9.64,,
,,,,,Rounded up $2,70


